transaction_id,date,type,amount,currency,description,counterparty,location,channel
TXN368640,2/28/2026,Fund Transfer,7786.53,INR,Transfer to family member,ABC Company Pvt Ltd,Kolkata,ATM
TXN372133,2/28/2026,Fund Transfer,4663.69,INR,ATM cash withdrawal,Online Merchant,Kolkata,Online
TXN585974,2/13/2026,Fund Transfer,544.58,INR,ATM cash withdrawal,XYZ Bank ATM,Kolkata,Online
TXN950268,3/23/2026,Salary Credit,4731.98,INR,Utility bill payment,Family Member,Kolkata,Branch
TXN626558,3/9/2026,UPI Payment,1422.33,INR,Transfer to family member,Family Member,Chennai,Online
TXN123513,1/30/2026,Bill Payment,5810.4,INR,Online purchase,ABC Company Pvt Ltd,Kolkata,Online
TXN669304,3/18/2026,Salary Credit,3116.06,INR,Monthly salary,ABC Company Pvt Ltd,Bangalore,Branch
TXN593048,1/9/2026,Salary Credit,6428.95,INR,Online purchase,Utility Provider,Kolkata,ATM
TXN228894,12/31/2025,Online Shopping,6827.4,INR,UPI payment to merchant,Utility Provider,Chennai,Branch
TXN625745,3/13/2026,Bill Payment,9078.32,INR,Utility bill payment,Family Member,Chennai,Branch
TXN582326,1/17/2026,UPI Payment,6661.6,INR,Monthly salary,XYZ Bank ATM,Kolkata,Online
TXN412432,3/8/2026,UPI Payment,3609.58,INR,Monthly salary,Family Member,Kolkata,Mobile App
TXN614611,3/25/2026,Online Shopping,8770.26,INR,UPI payment to merchant,Family Member,Kolkata,Branch
TXN209836,3/24/2026,UPI Payment,3936.32,INR,ATM cash withdrawal,ABC Company Pvt Ltd,Kolkata,Online
TXN946175,3/23/2026,Bill Payment,1004.33,INR,Transfer to family member,Family Member,Kolkata,Online
TXN315955,1/25/2026,Online Shopping,8485.82,INR,Transfer to family member,Family Member,Bangalore,Branch
