transaction_id,date,type,amount,currency,description,counterparty,location,channel
TXN396009,3/2/2026,Fund Transfer,16003.55,INR,Utility bill payment,Family Member,Delhi,Online
TXN350020,2/3/2026,Bill Payment,8303.41,INR,Monthly salary,Online Merchant,Kolkata,Mobile App
TXN758825,3/2/2026,Salary Credit,24031.48,INR,Transfer to family member,XYZ Bank ATM,Delhi,Mobile App
TXN121945,3/4/2026,Online Shopping,22561.48,INR,Utility bill payment,Family Member,Chennai,Online
TXN760381,3/4/2026,ATM Withdrawal,20206.5,INR,Transfer to family member,XYZ Bank ATM,Chennai,Online
TXN464874,3/1/2026,Online Shopping,8760.61,INR,Monthly salary,Online Merchant,Delhi,ATM
TXN879031,1/20/2026,Salary Credit,19017.24,INR,Utility bill payment,XYZ Bank ATM,Bangalore,Mobile App
TXN410458,3/3/2026,Salary Credit,20487.54,INR,Monthly salary,Online Merchant,Delhi,ATM
TXN904133,2/13/2026,Salary Credit,5895.79,INR,UPI payment to merchant,ABC Company Pvt Ltd,Delhi,Mobile App
TXN618638,1/8/2026,Fund Transfer,23571.22,INR,Transfer to family member,Online Merchant,Bangalore,Branch
TXN319728,1/29/2026,UPI Payment,19743.04,INR,Online purchase,Utility Provider,Delhi,Online
TXN427402,2/18/2026,ATM Withdrawal,13991.08,INR,Transfer to family member,Online Merchant,Chennai,Online
TXN285930,2/11/2026,ATM Withdrawal,15624.7,INR,ATM cash withdrawal,XYZ Bank ATM,Chennai,Online
TXN633992,1/21/2026,UPI Payment,9336.13,INR,Transfer to family member,ABC Company Pvt Ltd,Chennai,ATM
TXN258930,3/14/2026,UPI Payment,9801.51,INR,Utility bill payment,Utility Provider,Bangalore,Online
TXN376968,1/3/2026,Salary Credit,13701.29,INR,Online purchase,ABC Company Pvt Ltd,Kolkata,Mobile App
TXN837815,3/26/2026,Online Shopping,15491.56,INR,UPI payment to merchant,XYZ Bank ATM,Mumbai,ATM
TXN952388,3/5/2026,Fund Transfer,19114.89,INR,Online purchase,Online Merchant,Bangalore,Mobile App
TXN489973,2/4/2026,Fund Transfer,16566.83,INR,UPI payment to merchant,Utility Provider,Bangalore,ATM
TXN514244,3/3/2026,Online Shopping,6042.09,INR,Monthly salary,Online Merchant,Delhi,Online
TXN315922,1/21/2026,UPI Payment,12960.68,INR,Monthly salary,XYZ Bank ATM,Mumbai,Branch
TXN849451,2/10/2026,Fund Transfer,6421.19,INR,Transfer to family member,ABC Company Pvt Ltd,Bangalore,ATM
TXN186887,1/26/2026,Bill Payment,11699.53,INR,ATM cash withdrawal,Utility Provider,Delhi,Branch
TXN818220,2/6/2026,Fund Transfer,17354.07,INR,Online purchase,ABC Company Pvt Ltd,Delhi,Branch
TXN425867,1/11/2026,ATM Withdrawal,17072.44,INR,Online purchase,Online Merchant,Mumbai,Branch
TXN945616,1/29/2026,Fund Transfer,3942.2,INR,UPI payment to merchant,ABC Company Pvt Ltd,Delhi,Mobile App
TXN657683,2/2/2026,Bill Payment,12647.71,INR,Monthly salary,Family Member,Bangalore,Branch
TXN808002,1/23/2026,ATM Withdrawal,22039.76,INR,Monthly salary,Family Member,Delhi,Branch
TXN645318,1/7/2026,Bill Payment,23955.92,INR,Transfer to family member,Online Merchant,Delhi,Mobile App
TXN287138,1/12/2026,ATM Withdrawal,20764.8,INR,ATM cash withdrawal,XYZ Bank ATM,Delhi,Branch
