transaction_id,date,type,amount,currency,description,counterparty,location,channel
TXN368640,2/28/2026,Fund Transfer,7786.53,INR,Transfer to family member,ABC Company Pvt Ltd,Kolkata,ATM
TXN372133,2/28/2026,Fund Transfer,14663.69,INR,ATM cash withdrawal,Online Merchant,Mumbai,Online
TXN585974,2/13/2026,Fund Transfer,20544.58,INR,ATM cash withdrawal,XYZ Bank ATM,Kolkata,Online
TXN950268,3/23/2026,Salary Credit,4731.98,INR,Utility bill payment,Family Member,Kolkata,Branch
TXN626558,3/9/2026,UPI Payment,1422.33,INR,Transfer to family member,Family Member,Chennai,Online
TXN123513,1/30/2026,Bill Payment,5810.4,INR,Online purchase,ABC Company Pvt Ltd,Kolkata,Online
TXN669304,3/18/2026,Salary Credit,3116.06,INR,Monthly salary,ABC Company Pvt Ltd,Bangalore,Branch
TXN593048,1/9/2026,Salary Credit,16428.95,INR,Online purchase,Utility Provider,Delhi,ATM
TXN228894,12/31/2025,Online Shopping,16827.4,INR,UPI payment to merchant,Utility Provider,Chennai,Branch
TXN625745,3/13/2026,Bill Payment,19078.32,INR,Utility bill payment,Family Member,Chennai,Branch
TXN582326,1/17/2026,UPI Payment,6661.6,INR,Monthly salary,XYZ Bank ATM,Kolkata,Online
TXN412432,3/8/2026,UPI Payment,23609.58,INR,Monthly salary,Family Member,Kolkata,Mobile App
TXN614611,3/25/2026,Online Shopping,8770.26,INR,UPI payment to merchant,Family Member,Delhi,Branch
TXN209836,3/24/2026,UPI Payment,13936.32,INR,ATM cash withdrawal,ABC Company Pvt Ltd,Mumbai,Online
TXN946175,3/23/2026,Bill Payment,21004.33,INR,Transfer to family member,Family Member,Delhi,Online
TXN315955,1/25/2026,Online Shopping,18485.82,INR,Transfer to family member,Family Member,Bangalore,Branch
TXN433299,1/22/2026,ATM Withdrawal,3053.41,INR,Monthly salary,XYZ Bank ATM,Bangalore,Branch
TXN814760,1/28/2026,Salary Credit,10930.6,INR,UPI payment to merchant,Family Member,Mumbai,Online
TXN820549,2/17/2026,Salary Credit,3545.06,INR,Transfer to family member,XYZ Bank ATM,Bangalore,ATM
TXN407833,1/25/2026,ATM Withdrawal,7479.32,INR,Transfer to family member,Family Member,Kolkata,Online
TXN413904,2/5/2026,Salary Credit,3270.11,INR,ATM cash withdrawal,Family Member,Bangalore,Branch
TXN812648,3/8/2026,Online Shopping,378.64,INR,Transfer to family member,Family Member,Chennai,Branch
TXN338777,1/7/2026,UPI Payment,2729.39,INR,Utility bill payment,Family Member,Chennai,ATM
TXN478140,3/20/2026,Salary Credit,17950.3,INR,ATM cash withdrawal,ABC Company Pvt Ltd,Delhi,ATM
TXN593072,1/19/2026,ATM Withdrawal,7150.48,INR,UPI payment to merchant,ABC Company Pvt Ltd,Delhi,Branch
TXN780447,1/3/2026,Salary Credit,18378.36,INR,Utility bill payment,ABC Company Pvt Ltd,Mumbai,Branch
TXN828014,12/31/2025,Bill Payment,1508.16,INR,Monthly salary,Utility Provider,Bangalore,Mobile App
TXN647138,3/21/2026,Salary Credit,21587.07,INR,Monthly salary,Online Merchant,Mumbai,Online
